Unnamed: 0,text,sentiment,label
2353,"jo bare-bare sins aur ashlil avoid the deadly hai aur jab unhe kisi par krodh aata hai to ve kshma kar dete hain
",negative,0
145,"magar ho sakta hai ki aap morning ke waking up crying hue paye jayen.
",negative,0
2576,"hamne ise haeeve 1 par san phransisko se ls enjeles tak chalaya hai
",neutral,1
1866,"unhen n keval bahut se gairkanooni kar aur mahsool compelled to pay kiya jata perform forced labour bhi karayi jati thi
",negative,0
1714,"kya usne nahin jana ki allah dekh raha hai
",negative,0
1307,"juvenile justice board ne prakat roop se apilarthi ko, १३ ०८ २००३ par uski aayu २० varsh manakar, jo medikal bord dvara tay ek varsh ki sima ke bhitar kami ki taraph thi, labh diya hai
",positive,2
1703,"to 1 times 5 barabar hai 5ke
",neutral,1
2758,"mndap ke oopar ke kutas and salas aadital ke oopar ke kooton aur shalaon se chhote hain jo ki samany hai.
",neutral,1
172,"pichhe ek bari sabhi huee jismen hakim sahab aur pandit hakim ke public hue.
",neutral,1
1292,"ham 4 ko ek row gave hai aur 8 ko ek row gave hain
",neutral,1
10,"jo azasartapa un logon ke lie guidance v mercy hai
",positive,2
589,"federal metropolis washington desh ke eastern bhag men columbia zile men sthit hai middle aur virginia ke madhy.
",neutral,1
1716,"aaj base sarkar ke snsadhan us boond ki tulna men ek mahasagar ke saman hain.
",negative,0
1957,"prsiddh chauri-chaura tatha merath shadyntr kuchh aese mamle hain jinmen nyayalay ne svtntrta ki avdharna banae rakhte hue delivered memorable judgments
",neutral,1
837,"ek bar aapke nirnay jnjan ho jane ke bad paisa prapt kiya ja sakega.
",neutral,1
2622,"pumping system water ko open kuen , borvel , jal-dhara , pond , canal aadi se draws hai.
",positive,2
986,"moulded men full aur animal ki poori figure banayi jati hai.
",neutral,1
2172,"jahan par god shnkar parvti ji ko god shri ram ki story suna rahe the vahan kaga  shanker  ka ek ghosla tha aur uske bhitar baitha kaga bhi us story ko sun raha tha.
",positive,2
682,"ek vakilke rise i manhanival batonko siddh karneki kathinaiyonko aware tha.
",positive,2
2058,"ka upyog karte limit join men automatic pnkti-ganna ko simit updates
",positive,2
2059,"mumbai men average temperature evn precipitation  table  ki sarni
",neutral,1
661,"us bhir don pulled nahin chale jana hai us toofan me.
",neutral,1
1163,"ve revolution ki products thin
",neutral,1
716,"ata yadi leopard vahan sachmuch men gaya hota to bari kahin se tooti milti.
",negative,0
1732,"jin children severe sharirik aur mental physical hai jis ke s unko unki physical aur other ki vajah se unhin ki age ke child se more help ya phir dekhbhal ki jarurat lagti hai to aapko DLA ke lie arji dla sakte hai.
",negative,0
987,"fact, redit pe kisi nen thought,
",neutral,1
913,". iske atiriktak pain pan data parivartan ya sudhar ke lie anurodh ya ne pain kard ke lie anurodh maujooda pain ke lie bhi intarnet ke madhyapam se kiya ja sakta hai.
",neutral,1
1055,"aur ye ki thought that men tha ki aadmi aur jin god a lie jhoothi bat nahin bol sakte
",negative,0
1174,"i is prtishthit award ko jitne ke lie unhen badhaee deta years mujhe sure hai ki vah aane vale varshon men hindi literature ko samriddh karte rahenge.
",positive,2
946,"place hearts ki queen ke bagal men place hearts ke king ko rakhen
",positive,2
1268,"is address book ke lie perform this query karne se refused kiya s
",negative,0
1771,"anuchchhed 134 ke adhin uchchatam nyayalay men apil ke lie prmanapatr dene ki jo shakti uchch nyayalay ko prapt hai, usse kahin adhik vyapak uchchatam nyayalay ki ye shaktiyan apil ki grant special leave ke bare men hain
",positive,2
2410,"chunen ki kaun si service snpadit karni haia  C
",neutral,1
2106,"chhokre jab barish ke filled with rain nali ke nikat pahunche, to usi men kood pare aur dhamachaukari machate hue ho-halla karne lage.
",positive,2
1668,"proses aaeedi, process running chaloo pratyek prakriya ke lie ek vishisht snkhya aavntit karta hai.
",positive,2
1137,"aur jinke deeds light ke  palle halke hogen to unhin logon ne hamari aayat se napharmani karne ki vajah se yainan apna aap nusan kiya
",negative,0
639,"yahi adhikadhik skin excessive ka jharav skin par psoriasis ke lesions paida kar deta amount
",neutral,1
2358,"b se ee tak ki line ke way poore raste chalie ,
",neutral,1
2585,"issuer  s vishya  s fingerprint  s signature  s
",neutral,1
2248,"kuchh vyaktiyon ke virooddh udisa maintens aanph pablik aanrdar ekt-1948 ke adhin kanooni karrvaee ki gee thi, aur aesa lagta hai ki in bhootpoorv rajaon ke, khas taur par kalahandi ke raja ke, protsahan aur aarthik sahayta se ye log us karar ki kasauti karne ke lie haeekort tak gaye hain, jo aage ki kanooni karrvaee ke mool men hain.
",positive,2
1742,"many se bahuton ke bharat lautne ki likely hai parntu videsh men rahne par ve sabhi is fact ki vajah se vulnerable hain ki unhen apne host country ki citizenship ke privileges nahin milte hain.
",negative,0
711,"is building ke top ek big tomb sushobhit hai.
",positive,2
2511,"attendance ki nominal check advisable hai.
",neutral,1
202,"new channel ke vimochan ki date tay karne ke lie meeting bulaee gee.
",neutral,1
2383,"highest se highest amount jo mooly rup me di jani ho.
",neutral,1
35,"spades ki place the ten place spades ke nahla ko rakhen
",neutral,1
1202,"kyonki bala khud bad men TED men bol rahe hain
",neutral,1
1039,"aur jab  manifest raushan aayten unke samne pai respect hain to jin logon ne faithless kiya faithful se poochhte hain bhala ye to company ki  tum station groups men se superior men kaun jyada better hai aur kiski mahphil jyada achchhi hai
",positive,2
1622,"pahle ke paimbro ne tablie risalat yahan vak ki jab aum ke eeman lane se paimbar mayoos ho ge aur un logon ne samajh liya ki vah jhuthlae ge to unke pas hamari as madad aa pahunchi to jise hamne chaha najat di aur hamara azab gunehgar logon ke sar se to tala nahin jata
",negative,0
397,"india government ke pas country ki defence ke lie adequate plans v intjam n the
",negative,0
2350,"savitri ke prem ki shakti se chakit hokar tatha isi ke sath usse pichha chhurane ki utkat ichchha se yam ne use kee vardan die aur unhin vardanon ke kram men savitri ne ek manovaijnjanik kshan men unse yah bhi svikar karaya ki use satyvan se sau putron ki prapti ho.
",positive,2
1969,"aur agar jhuthlane vale astray men se hai
",negative,0
1816,"raz magicians ne kaha  ae moses  ya to tum hi  apne first  phenko aur ya ye ki pahle jo first phenke vah ham hi hon
",neutral,1
452,"vah friendly, helpful, aakarshak aur mridubhashi tha
",positive,2
